,totalenrolled,white,black,hispanic,lowincome,dropout,year,charter,hybridper,virtualper,schoolmode,schoolcode,countycode,districtcode,state
165,110,100.0,0.0,0.0,29.1,5.2,2019,0,0.0,0.0,0.0,11087005A260001il,11087il,11087005il,il
166,105,99.0,0.0,0.0,32.4,0.0,2018,0,0.0,0.0,0.0,11087005A260001il,11087il,11087005il,il
167,105,98.1,0.0,0.0,33.3,1.0,2017,0,0.0,0.0,0.0,11087005A260001il,11087il,11087005il,il
168,216,95.8,0.0,0.0,37.5,4.3,2021,0,0.3636,0.1818,0.4545,110870210260001il,11087il,11087021il,il
169,223,93.7,3.6,0.0,34.5,2.4,2019,0,0.0,0.0,0.0,110870210260001il,11087il,11087021il,il
170,218,93.1,0.0,0.0,41.7,1.8,2018,0,0.0,0.0,0.0,110870210260001il,11087il,11087021il,il
171,246,93.9,3.3,0.8,41.1,18.4,2017,0,0.0,0.0,0.0,110870210260001il,11087il,11087021il,il
172,73,97.3,0.0,0.0,60.3,3.1,2021,0,0.0,0.0,0.0909,120130100260002il,12013il,12013010il,il
173,51,94.1,3.9,2.0,58.8,9.4,2019,0,0.0,0.0,0.0,120130100260002il,12013il,12013010il,il
174,57,93.0,0.0,0.0,45.6,0.0,2018,0,0.0,0.0,0.0,120130100260002il,12013il,12013010il,il
175,50,96.0,0.0,4.0,40.0,2.0,2017,0,0.0,0.0,0.0,120130100260002il,12013il,12013010il,il
176,181,94.5,0.0,0.0,44.8,4.7,2021,0,0.0,0.0,0.0909,120130250260001il,12013il,12013025il,il
177,191,97.4,0.0,0.5,40.8,9.3,2019,0,0.0,0.0,0.0,120130250260001il,12013il,12013025il,il
178,196,98.0,0.0,0.0,40.3,3.6,2018,0,0.0,0.0,0.0,120130250260001il,12013il,12013025il,il
179,198,98.5,0.5,0.5,43.4,0.5,2017,0,0.0,0.0,0.0,120130250260001il,12013il,12013025il,il
180,383,92.2,0.0,2.9,50.4,3.8,2021,0,0.0,0.0909,0.1818,120130350260001il,12013il,12013035il,il
181,352,93.2,0.0,2.0,40.1,6.9,2019,0,0.0,0.0,0.0,120130350260001il,12013il,12013035il,il
182,358,93.3,0.0,0.0,43.9,2.5,2018,0,0.0,0.0,0.0,120130350260001il,12013il,12013035il,il
183,372,95.7,0.3,1.3,51.9,3.2,2017,0,0.0,0.0,0.0,120130350260001il,12013il,12013035il,il
184,103,89.3,0.0,0.0,40.8,1.0,2021,0,0.2727,0.0,0.2273,120170010260001il,12017il,12017001il,il
