,year,schoolcode,dropout,districtcode,countycode,lowincome,white,black,hispanic,state,totalenrolled,schoolmode,virtualper,schoolmode,hybridper,charter
245,2018,50301040002nyc,3.0,503010nyc,503nyc,30,91,1,2,nyc,291,0.0,0.0,0.0,0.0,0
246,2019,50301040002nyc,3.0,503010nyc,503nyc,29,91,0,2,nyc,258,0.0,0.0,0.0,0.0,0
247,2021,50301040002nyc,4.0,503010nyc,503nyc,25,90,0,4,nyc,248,0.26,0.0,0.26,0.52,0
249,2017,50401040003nyc,3.0,504010nyc,504nyc,41,95,0,2,nyc,294,0.0,0.0,0.0,0.0,0
250,2018,50401040003nyc,1.0,504010nyc,504nyc,43,92,1,2,nyc,295,0.0,0.0,0.0,0.0,0
251,2019,50401040003nyc,2.0,504010nyc,504nyc,40,91,2,1,nyc,294,0.0,0.0,0.0,0.0,0
252,2021,50401040003nyc,5.0,504010nyc,504nyc,43,90,1,2,nyc,261,0.46,0.0,0.46,0.92,0
254,2017,50701040005nyc,9.0,507010nyc,507nyc,46,87,1,8,nyc,190,0.0,0.0,0.0,0.0,0
255,2018,50701040005nyc,11.0,507010nyc,507nyc,49,87,0,10,nyc,196,0.0,0.0,0.0,0.0,0
256,2019,50701040005nyc,3.0,507010nyc,507nyc,48,84,0,12,nyc,194,0.0,0.0,0.0,0.0,0
257,2021,50701040005nyc,2.0,507010nyc,507nyc,47,81,0,14,nyc,199,0.5,0.08,0.5,0.84,0
259,2017,51101040004nyc,7.0,511010nyc,511nyc,43,96,1,1,nyc,320,0.0,0.0,0.0,0.0,0
260,2018,51101040004nyc,6.0,511010nyc,511nyc,48,95,1,2,nyc,317,0.0,0.0,0.0,0.0,0
261,2019,51101040004nyc,6.0,511010nyc,511nyc,50,94,1,3,nyc,288,0.0,0.0,0.0,0.0,0
262,2021,51101040004nyc,3.0,511010nyc,511nyc,45,93,1,3,nyc,253,0.16,0.16,0.16,0.0,0
264,2017,51301040003nyc,5.0,513010nyc,513nyc,48,96,0,1,nyc,263,0.0,0.0,0.0,0.0,0
265,2018,51301040003nyc,5.0,513010nyc,513nyc,49,95,0,2,nyc,284,0.0,0.0,0.0,0.0,0
266,2019,51301040003nyc,3.0,513010nyc,513nyc,52,95,0,2,nyc,281,0.0,0.0,0.0,0.0,0
267,2021,51301040003nyc,1.0,513010nyc,513nyc,44,94,1,2,nyc,271,0.46,0.08,0.46,0.76,0
269,2017,51901040005nyc,7.0,519010nyc,519nyc,30,91,3,4,nyc,286,0.0,0.0,0.0,0.0,0
270,2018,51901040005nyc,3.0,519010nyc,519nyc,37,93,3,3,nyc,279,0.0,0.0,0.0,0.0,0
271,2019,51901040005nyc,7.0,519010nyc,519nyc,41,90,3,5,nyc,251,0.0,0.0,0.0,0.0,0
272,2021,51901040005nyc,2.0,519010nyc,519nyc,36,87,3,8,nyc,233,0.5,0.08,0.5,0.84,0
274,2017,60201060003nyc,4.0,602010nyc,602nyc,30,92,1,2,nyc,418,0.0,0.0,0.0,0.0,0
275,2018,60201060003nyc,4.0,602010nyc,602nyc,34,91,0,2,nyc,414,0.0,0.0,0.0,0.0,0
276,2019,60201060003nyc,1.0,602010nyc,602nyc,35,89,0,4,nyc,408,0.0,0.0,0.0,0.0,0
277,2021,60201060003nyc,5.0,602010nyc,602nyc,36,89,1,5,nyc,431,0.44,0.0,0.44,0.88,0
279,2017,60301040004nyc,5.0,603010nyc,603nyc,39,96,1,1,nyc,223,0.0,0.0,0.0,0.0,0
280,2018,60301040004nyc,4.0,603010nyc,603nyc,41,94,1,2,nyc,243,0.0,0.0,0.0,0.0,0
281,2019,60301040004nyc,3.0,603010nyc,603nyc,42,94,1,2,nyc,258,0.0,0.0,0.0,0.0,0
282,2021,60301040004nyc,1.0,603010nyc,603nyc,42,94,0,2,nyc,273,0.0,0.0,0.0,0.0,0
284,2017,60401040006nyc,11.0,604010nyc,604nyc,52,93,1,3,nyc,292,0.0,0.0,0.0,0.0,0
285,2018,60401040006nyc,8.0,604010nyc,604nyc,53,94,1,3,nyc,274,0.0,0.0,0.0,0.0,0
