,schoolcode,districtcode,countycode,year,charter,elapass,schoolmode,virtualper,hybridper,totalenroll,lowincome,white,black,hispanic,state
204,140203060010,14020306nyc,14nyc,2017,0.0,96,0.0,0.0,0.0,311,11.5756,83.6013,2.5723,2.2508,nyc
205,140203060010,14020306nyc,14nyc,2018,0.0,93,0.0,0.0,0.0,380,15.0,81.5789,2.3684,3.6842,nyc
206,140203060010,14020306nyc,14nyc,2019,0.0,95,0.0,0.0,0.0,336,19.0476,77.9762,5.0595,2.0833,nyc
207,140203060010,14020306nyc,14nyc,2021,0.0,90,0.34,0.0,0.68,10,20.0,70.0,10.0,10.0,nyc
208,140203060013,14020306nyc,14nyc,2017,0.0,97,0.0,0.0,0.0,255,9.4118,75.2941,1.1765,3.1373,nyc
209,140203060013,14020306nyc,14nyc,2018,0.0,96,0.0,0.0,0.0,282,10.9929,73.4043,1.0638,2.8369,nyc
210,140203060013,14020306nyc,14nyc,2019,0.0,95,0.0,0.0,0.0,263,16.3498,72.2433,2.6616,2.6616,nyc
211,140203060013,14020306nyc,14nyc,2021,0.0,92,0.34,0.0,0.68,24,20.8333,70.8333,4.1667,0.0,nyc
212,140207060006,14020706nyc,14nyc,2017,0.0,95,0.0,0.0,0.0,262,46.5649,68.3206,20.229,5.3435,nyc
213,140207060006,14020706nyc,14nyc,2018,0.0,89,0.0,0.0,0.0,255,50.9804,65.8824,25.098,3.5294,nyc
214,140207060006,14020706nyc,14nyc,2019,0.0,90,0.0,0.0,0.0,288,51.7361,62.8472,21.1806,6.9444,nyc
215,140207060006,14020706nyc,14nyc,2021,0.0,83,0.44,0.0,0.88,12,50.0,58.3333,8.3333,25.0,nyc
216,140301030005,14030103nyc,14nyc,2017,0.0,97,0.0,0.0,0.0,178,8.427,96.6292,1.1236,2.2472,nyc
217,140301030005,14030103nyc,14nyc,2018,0.0,98,0.0,0.0,0.0,159,25.1572,95.5975,0.0,2.5157,nyc
218,140301030005,14030103nyc,14nyc,2019,0.0,99,0.0,0.0,0.0,160,14.375,95.0,0.625,2.5,nyc
219,140301030005,14030103nyc,14nyc,2021,0.0,0,0.46,0.0,0.92,2,0.0,100.0,0.0,0.0,nyc
220,140600010056,14060001nyc,14nyc,2017,0.0,92,0.0,0.0,0.0,109,49.5413,27.5229,48.6239,9.1743,nyc
221,140600010056,14060001nyc,14nyc,2018,0.0,92,0.0,0.0,0.0,111,46.8468,34.2342,43.2432,5.4054,nyc
222,140600010056,14060001nyc,14nyc,2019,0.0,96,0.0,0.0,0.0,106,43.3962,38.6792,30.1887,8.4906,nyc
