,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
3999,057905058tx,2018,0.0,96.4,0.0,0.0,0,111,81.08,8.1081,10.8108,74.7748,4.5045,tx,057tx,057905tx
4000,057905058tx,2019,0.0,98.82,0.0,0.0,0,85,29.41,12.9412,12.9412,67.0588,3.5294,tx,057tx,057905tx
4001,057905058tx,2021,0.0,55.65,0.0,0.0,0,124,45.16,3.2258,8.871,83.0645,2.4194,tx,057tx,057905tx
4002,057905059tx,2015,0.0,86.36,0.0,0.0,0,88,94.32,0.0,4.5455,94.3182,0.0,tx,057tx,057905tx
4003,057905059tx,2016,0.0,73.72,0.0,0.0,0,137,95.62,0.7299,0.7299,97.0803,1.4599,tx,057tx,057905tx
4004,057905059tx,2017,0.0,88.79,0.0,0.0,0,107,93.46,0.0,2.8037,97.1963,0.0,tx,057tx,057905tx
4005,057905059tx,2018,0.0,95.12,0.0,0.0,0,82,96.34,0.0,2.439,96.3415,1.2195,tx,057tx,057905tx
4006,057905059tx,2019,0.0,100.0,0.0,0.0,0,47,61.7,0.0,0.0,100.0,0.0,tx,057tx,057905tx
4007,057905059tx,2021,0.0,20.88,0.0,0.0,0,182,55.49,0.0,3.8462,96.1538,0.0,tx,057tx,057905tx
4008,057905060tx,2015,0.0,76.47,0.0,0.0,0,34,100.0,0.0,26.4706,73.5294,0.0,tx,057tx,057905tx
4009,057905060tx,2016,0.0,78.95,0.0,0.0,0,19,100.0,0.0,26.3158,73.6842,0.0,tx,057tx,057905tx
4010,057905060tx,2017,0.0,54.55,0.0,0.0,0,11,90.91,0.0,18.1818,81.8182,0.0,tx,057tx,057905tx
4011,057905060tx,2018,0.0,90.0,0.0,0.0,0,30,100.0,0.0,46.6667,53.3333,0.0,tx,057tx,057905tx
4012,057905060tx,2019,0.0,72.22,0.0,0.0,0,18,72.22,0.0,55.5556,38.8889,0.0,tx,057tx,057905tx
4013,057905060tx,2021,0.0,56.67,0.0,0.0,0,30,70.0,0.0,26.6667,73.3333,0.0,tx,057tx,057905tx
4014,057905062tx,2015,0.0,35.0,0.0,0.0,0,20,80.0,0.0,60.0,40.0,0.0,tx,057tx,057905tx
4015,057905062tx,2016,0.0,37.14,0.0,0.0,0,70,95.71,0.0,65.7143,34.2857,0.0,tx,057tx,057905tx
