,schoolcode,year,charter,mathpass,schoolmode,virtualper,hybridper,totaltested,lowincome,white,black,hispanic,asian,state,countycode,districtcode
143,005902001,2021,0.0,57.14,0.0,0.0,0,63,25.4,82.5397,0.0,11.1111,0.0,texas,005texas,902001texas
144,005902041,2015,0.0,92.0,0.0,0.0,0,25,16.0,96.0,0.0,4.0,0.0,texas,005texas,902041texas
145,005902041,2016,0.0,89.47,0.0,0.0,0,19,0.0,100.0,0.0,0.0,0.0,texas,005texas,902041texas
146,005902041,2017,0.0,100.0,0.0,0.0,0,17,0.0,100.0,0.0,0.0,0.0,texas,005texas,902041texas
147,005902041,2018,0.0,100.0,0.0,0.0,0,19,0.0,84.2105,0.0,10.5263,0.0,texas,005texas,902041texas
148,005902041,2019,0.0,100.0,0.0,0.0,0,26,3.85,96.1538,0.0,0.0,0.0,texas,005texas,902041texas
149,005902041,2021,0.0,95.24,0.0,0.0,0,21,0.0,80.9524,0.0,14.2857,0.0,texas,005texas,902041texas
150,005904001,2015,0.0,38.24,0.0,0.0,0,34,29.41,67.6471,0.0,26.4706,0.0,texas,005texas,904001texas
151,005904001,2016,0.0,77.78,0.0,0.0,0,27,37.04,55.5556,0.0,44.4444,0.0,texas,005texas,904001texas
152,005904001,2017,0.0,71.43,0.0,0.0,0,28,35.71,71.4286,0.0,28.5714,0.0,texas,005texas,904001texas
153,005904001,2018,0.0,77.27,0.0,0.0,0,22,27.27,63.6364,0.0,36.3636,0.0,texas,005texas,904001texas
154,005904001,2019,0.0,68.0,0.0,0.0,0,25,52.0,68.0,0.0,24.0,0.0,texas,005texas,904001texas
155,005904001,2021,0.0,74.19,0.0,0.0,0,31,32.26,74.1935,0.0,22.5806,0.0,texas,005texas,904001texas
156,006902001,2015,0.0,71.88,0.0,0.0,0,32,37.5,84.375,3.125,12.5,0.0,texas,006texas,902001texas
157,006902001,2016,0.0,92.31,0.0,0.0,0,13,23.08,76.9231,0.0,15.3846,0.0,texas,006texas,902001texas
158,006902001,2017,0.0,65.22,0.0,0.0,0,23,34.78,82.6087,4.3478,13.0435,0.0,texas,006texas,902001texas
159,006902001,2018,0.0,64.0,0.0,0.0,0,25,64.0,68.0,12.0,16.0,0.0,texas,006texas,902001texas
160,006902001,2019,0.0,70.0,0.0,0.0,0,20,50.0,85.0,0.0,5.0,0.0,texas,006texas,902001texas
161,006902001,2021,0.0,70.83,0.0,0.0,0,24,16.67,75.0,0.0,25.0,0.0,texas,006texas,902001texas
162,007901001,2015,0.0,16.0,0.0,0.0,0,50,66.0,6.0,2.0,92.0,0.0,texas,007texas,901001texas
163,007901001,2016,0.0,12.5,0.0,0.0,0,48,79.17,2.0833,2.0833,95.8333,0.0,texas,007texas,901001texas
164,007901001,2017,0.0,18.52,0.0,0.0,0,54,66.67,11.1111,0.0,88.8889,0.0,texas,007texas,901001texas
165,007901001,2018,0.0,18.92,0.0,0.0,0,37,70.27,5.4054,0.0,94.5946,0.0,texas,007texas,901001texas
166,007901001,2019,0.0,30.77,0.0,0.0,0,39,76.92,2.5641,0.0,94.8718,2.5641,texas,007texas,901001texas
167,007901001,2021,0.0,50.0,0.0,0.0,0,34,76.47,5.8824,0.0,94.1176,0.0,texas,007texas,901001texas
168,007902001,2015,0.0,16.52,0.0,0.0,0,115,53.91,38.2609,1.7391,57.3913,0.8696,texas,007texas,902001texas
169,007902001,2016,0.0,33.33,0.0,0.0,0,132,53.03,37.8788,0.7576,60.6061,0.0,texas,007texas,902001texas
170,007902001,2017,0.0,28.77,0.0,0.0,0,146,58.9,36.3014,1.3699,59.589,0.0,texas,007texas,902001texas
171,007902001,2018,0.0,40.0,0.0,0.0,0,135,55.56,35.5556,1.4815,62.2222,0.0,texas,007texas,902001texas
172,007902001,2019,0.0,58.56,0.0,0.0,0,111,50.45,45.045,0.0,54.0541,0.0,texas,007texas,902001texas
173,007902001,2021,0.0,63.89,0.0,0.0,0,108,50.93,34.2593,0.9259,62.963,0.9259,texas,007texas,902001texas
174,007904001,2015,0.0,13.11,0.0,0.0,0,122,75.41,18.0328,1.6393,78.6885,0.0,texas,007texas,904001texas
175,007904001,2016,0.0,8.26,0.0,0.0,0,121,81.82,13.2231,4.1322,81.8182,0.0,texas,007texas,904001texas
176,007904001,2017,0.0,4.55,0.0,0.0,0,110,80.0,12.7273,1.8182,85.4545,0.0,texas,007texas,904001texas
177,007904001,2018,0.0,10.24,0.0,0.0,0,127,74.02,13.3858,1.5748,84.252,0.0,texas,007texas,904001texas
178,007904001,2019,0.0,7.58,0.0,0.0,0,132,80.3,16.6667,1.5152,81.8182,0.0,texas,007texas,904001texas
179,007904001,2021,0.0,11.76,0.0,0.0,0,102,74.51,3.9216,0.0,92.1569,0.0,texas,007texas,904001texas
180,007904041,2015,0.0,48.0,0.0,0.0,0,25,48.0,32.0,0.0,64.0,0.0,texas,007texas,904041texas
181,007904041,2016,0.0,75.0,0.0,0.0,0,20,50.0,20.0,5.0,75.0,0.0,texas,007texas,904041texas
182,007904041,2017,0.0,88.89,0.0,0.0,0,18,44.44,22.2222,0.0,77.7778,0.0,texas,007texas,904041texas
183,007904041,2018,0.0,78.26,0.0,0.0,0,23,47.83,26.087,0.0,73.913,0.0,texas,007texas,904041texas
184,007904041,2019,0.0,90.91,0.0,0.0,0,22,45.45,27.2727,0.0,72.7273,0.0,texas,007texas,904041texas
185,007904041,2021,0.0,69.57,0.0,0.0,0,23,52.17,26.087,0.0,69.5652,0.0,texas,007texas,904041texas
186,007905001,2015,0.0,23.29,0.0,0.0,0,219,47.03,25.1142,0.4566,73.0594,0.0,texas,007texas,905001texas
187,007905001,2016,0.0,25.81,0.0,0.0,0,217,54.84,25.8065,0.0,73.2719,0.0,texas,007texas,905001texas
188,007905001,2017,0.0,31.91,0.0,0.0,0,257,60.31,21.4008,0.0,76.6537,0.3891,texas,007texas,905001texas
189,007905001,2018,0.0,47.7,0.0,0.0,0,239,67.36,25.523,0.0,72.3849,0.4184,texas,007texas,905001texas
190,007905001,2019,0.0,68.03,0.0,0.0,0,244,57.79,28.2787,0.8197,68.8525,0.0,texas,007texas,905001texas
191,007905001,2021,0.0,55.38,0.0,0.0,0,195,65.13,24.6154,0.0,74.359,0.5128,texas,007texas,905001texas
192,007905041,2015,0.0,77.78,0.0,0.0,0,36,30.56,44.4444,0.0,52.7778,2.7778,texas,007texas,905041texas
193,007905041,2016,0.0,87.18,0.0,0.0,0,39,17.95,53.8462,0.0,43.5897,2.5641,texas,007texas,905041texas
194,007905041,2017,0.0,97.67,0.0,0.0,0,43,32.56,46.5116,0.0,51.1628,2.3256,texas,007texas,905041texas
195,007905041,2018,0.0,83.78,0.0,0.0,0,37,27.03,48.6486,0.0,51.3514,0.0,texas,007texas,905041texas
196,007905041,2019,0.0,91.67,0.0,0.0,0,24,12.5,45.8333,0.0,50.0,0.0,texas,007texas,905041texas
197,007905041,2021,0.0,91.67,0.0,0.0,0,24,33.33,58.3333,0.0,41.6667,0.0,texas,007texas,905041texas
198,007906001,2015,0.0,20.92,0.0,0.0,0,196,66.84,12.2449,1.5306,86.2245,0.0,texas,007texas,906001texas
199,007906001,2016,0.0,4.58,0.0,0.0,0,131,80.15,7.6336,0.7634,91.6031,0.0,texas,007texas,906001texas
200,007906001,2017,0.0,11.81,0.0,0.0,0,144,81.25,8.3333,0.0,91.6667,0.0,texas,007texas,906001texas
201,007906001,2018,0.0,31.97,0.0,0.0,0,122,80.33,14.7541,0.0,85.2459,0.0,texas,007texas,906001texas
202,007906001,2019,0.0,33.33,0.0,0.0,0,102,81.37,11.7647,0.0,86.2745,0.9804,texas,007texas,906001texas
203,007906001,2021,0.0,2.86,0.0,0.0,0,70,50.0,8.5714,1.4286,88.5714,0.0,texas,007texas,906001texas
204,007906041,2015,0.0,68.97,0.0,0.0,0,29,58.62,20.6897,0.0,79.3103,0.0,texas,007texas,906041texas
205,007906041,2016,0.0,41.38,0.0,0.0,0,29,58.62,34.4828,0.0,65.5172,0.0,texas,007texas,906041texas
206,007906041,2017,0.0,55.32,0.0,0.0,0,47,57.45,23.4043,0.0,76.5957,0.0,texas,007texas,906041texas
207,007906041,2018,0.0,100.0,0.0,0.0,0,26,53.85,23.0769,0.0,73.0769,3.8462,texas,007texas,906041texas
208,007906041,2019,0.0,96.88,0.0,0.0,0,32,59.38,9.375,0.0,87.5,0.0,texas,007texas,906041texas
209,007906041,2021,0.0,83.72,0.0,0.0,0,43,27.91,9.3023,0.0,90.6977,0.0,texas,007texas,906041texas
210,008901001,2015,0.0,40.74,0.0,0.0,0,108,47.22,46.2963,12.963,36.1111,0.0,texas,008texas,901001texas
211,008901001,2016,0.0,33.04,0.0,0.0,0,112,46.43,54.4643,12.5,30.3571,1.7857,texas,008texas,901001texas
212,008901001,2017,0.0,25.87,0.0,0.0,0,143,50.35,52.4476,13.2867,33.5664,0.0,texas,008texas,901001texas
213,008901001,2018,0.0,45.06,0.0,0.0,0,162,54.94,54.9383,10.4938,31.4815,0.6173,texas,008texas,901001texas
214,008901001,2019,0.0,43.18,0.0,0.0,0,132,57.58,48.4848,16.6667,31.8182,0.0,texas,008texas,901001texas
